accuracy,hidden_layer_size,alpha,max_iter,solver
0.616557734204793,"[100, 250]",0.0001,400,adam
0.6383442265795207,"[100, 250]",0.0001,400,adam
0.6797385620915033,"[100, 250]",0.001,400,adam
0.6274509803921569,"[100, 250]",0.001,400,adam
0.6579520697167756,"[100, 250]",0.001,400,adam
0.6623093681917211,"[100, 250]",0.01,400,adam
0.6078431372549019,"[100, 250]",0.01,400,adam
0.6535947712418301,"[100, 250]",0.01,400,adam
0.6688453159041394,"[100, 250]",0.1,400,adam
0.6143790849673203,"[100, 250]",0.1,400,adam
0.6492374727668845,"[100, 250]",0.1,400,adam
0.6928104575163399,"[100, 250]",0.3,400,adam
0.6296296296296297,"[100, 250]",0.3,400,adam
0.6361655773420479,"[100, 250]",0.3,400,adam
0.6557734204793029,"[100, 250]",0.5,400,adam
0.6034858387799564,"[100, 250]",0.5,400,adam
0.6252723311546841,"[100, 250]",0.5,400,adam
0.6535947712418301,"[100, 250]",0.6,400,adam
0.5904139433551199,"[100, 250]",0.6,400,adam
0.6187363834422658,"[100, 250]",0.6,400,adam
0.6775599128540305,"[200, 100]",0.0001,400,adam
0.6122004357298475,"[200, 100]",0.0001,400,adam
0.644880174291939,"[200, 100]",0.0001,400,adam
0.6557734204793029,"[200, 100]",0.001,400,adam
0.6187363834422658,"[200, 100]",0.001,400,adam
0.664488017429194,"[200, 100]",0.001,400,adam
0.6862745098039216,"[200, 100]",0.01,400,adam
0.6143790849673203,"[200, 100]",0.01,400,adam
0.6535947712418301,"[200, 100]",0.01,400,adam
0.681917211328976,"[200, 100]",0.1,400,adam
0.6143790849673203,"[200, 100]",0.1,400,adam
0.6361655773420479,"[200, 100]",0.1,400,adam
0.6514161220043573,"[200, 100]",0.3,400,adam
0.6274509803921569,"[200, 100]",0.3,400,adam
0.6361655773420479,"[200, 100]",0.3,400,adam
0.6601307189542484,"[200, 100]",0.5,400,adam
0.6143790849673203,"[200, 100]",0.5,400,adam
0.6122004357298475,"[200, 100]",0.5,400,adam
0.6427015250544662,"[200, 100]",0.6,400,adam
0.6100217864923747,"[200, 100]",0.6,400,adam
0.6274509803921569,"[200, 100]",0.6,400,adam
0.6775599128540305,"[200, 200]",0.0001,400,adam
0.6252723311546841,"[200, 200]",0.0001,400,adam
0.6688453159041394,"[200, 200]",0.0001,400,adam
0.6840958605664488,"[200, 200]",0.001,400,adam
0.6383442265795207,"[200, 200]",0.001,400,adam
0.6666666666666666,"[200, 200]",0.001,400,adam
0.6710239651416122,"[200, 200]",0.01,400,adam
0.616557734204793,"[200, 200]",0.01,400,adam
0.6579520697167756,"[200, 200]",0.01,400,adam
0.6797385620915033,"[200, 200]",0.1,400,adam
0.6318082788671024,"[200, 200]",0.1,400,adam
0.6427015250544662,"[200, 200]",0.1,400,adam
0.6753812636165577,"[200, 200]",0.3,400,adam
0.6361655773420479,"[200, 200]",0.3,400,adam
0.6405228758169934,"[200, 200]",0.3,400,adam
0.6688453159041394,"[200, 200]",0.5,400,adam
0.6143790849673203,"[200, 200]",0.5,400,adam
0.6056644880174292,"[200, 200]",0.5,400,adam
0.6666666666666666,"[200, 200]",0.6,400,adam
0.6078431372549019,"[200, 200]",0.6,400,adam
0.6209150326797386,"[200, 200]",0.6,400,adam
0.6710239651416122,"[200, 250]",0.0001,400,adam
0.6318082788671024,"[200, 250]",0.0001,400,adam
0.6666666666666666,"[200, 250]",0.0001,400,adam
0.6666666666666666,"[200, 250]",0.001,400,adam
0.6296296296296297,"[200, 250]",0.001,400,adam
0.6339869281045751,"[200, 250]",0.001,400,adam
0.673202614379085,"[200, 250]",0.01,400,adam
0.6296296296296297,"[200, 250]",0.01,400,adam
0.6514161220043573,"[200, 250]",0.01,400,adam
0.690631808278867,"[200, 250]",0.1,400,adam
0.6405228758169934,"[200, 250]",0.1,400,adam
0.6579520697167756,"[200, 250]",0.1,400,adam
0.6753812636165577,"[200, 250]",0.3,400,adam
0.6296296296296297,"[200, 250]",0.3,400,adam
0.6209150326797386,"[200, 250]",0.3,400,adam
0.6710239651416122,"[200, 250]",0.5,400,adam
0.6122004357298475,"[200, 250]",0.5,400,adam
0.579520697167756,"[200, 250]",0.5,400,adam
0.664488017429194,"[200, 250]",0.6,400,adam
0.6056644880174292,"[200, 250]",0.6,400,adam
0.6209150326797386,"[200, 250]",0.6,400,adam
0.6797385620915033,"[250, 100]",0.0001,400,adam
0.6143790849673203,"[250, 100]",0.0001,400,adam
0.6601307189542484,"[250, 100]",0.0001,400,adam
0.673202614379085,"[250, 100]",0.001,400,adam
0.6100217864923747,"[250, 100]",0.001,400,adam
0.6492374727668845,"[250, 100]",0.001,400,adam
0.6623093681917211,"[250, 100]",0.01,400,adam
0.6252723311546841,"[250, 100]",0.01,400,adam
0.644880174291939,"[250, 100]",0.01,400,adam
0.681917211328976,"[250, 100]",0.1,400,adam
0.6230936819172114,"[250, 100]",0.1,400,adam
0.6274509803921569,"[250, 100]",0.1,400,adam
0.6797385620915033,"[250, 100]",0.3,400,adam
0.6318082788671024,"[250, 100]",0.3,400,adam
0.6361655773420479,"[250, 100]",0.3,400,adam
0.6514161220043573,"[250, 100]",0.5,400,adam
0.5272331154684096,"[250, 100]",0.5,400,adam
0.6361655773420479,"[250, 100]",0.5,400,adam
0.6535947712418301,"[250, 100]",0.6,400,adam
0.616557734204793,"[250, 100]",0.6,400,adam
0.6318082788671024,"[250, 100]",0.6,400,adam
0.690631808278867,"[250, 200]",0.0001,400,adam
0.6209150326797386,"[250, 200]",0.0001,400,adam
0.6579520697167756,"[250, 200]",0.0001,400,adam
0.6928104575163399,"[250, 200]",0.001,400,adam
0.6296296296296297,"[250, 200]",0.001,400,adam
0.6427015250544662,"[250, 200]",0.001,400,adam
0.6775599128540305,"[250, 200]",0.01,400,adam
0.6252723311546841,"[250, 200]",0.01,400,adam
0.673202614379085,"[250, 200]",0.01,400,adam
0.673202614379085,"[250, 200]",0.1,400,adam
0.616557734204793,"[250, 200]",0.1,400,adam
0.6470588235294118,"[250, 200]",0.1,400,adam
0.6579520697167756,"[250, 200]",0.3,400,adam
0.6274509803921569,"[250, 200]",0.3,400,adam
0.6405228758169934,"[250, 200]",0.3,400,adam
0.6557734204793029,"[250, 200]",0.5,400,adam
0.5403050108932462,"[250, 200]",0.5,400,adam
0.6383442265795207,"[250, 200]",0.5,400,adam
0.6470588235294118,"[250, 200]",0.6,400,adam
0.5947712418300654,"[250, 200]",0.6,400,adam
0.5555555555555556,"[250, 200]",0.6,400,adam
0.673202614379085,"[250, 250]",0.0001,400,adam
0.6339869281045751,"[250, 250]",0.0001,400,adam
0.6623093681917211,"[250, 250]",0.0001,400,adam
0.6884531590413944,"[250, 250]",0.001,400,adam
0.6383442265795207,"[250, 250]",0.001,400,adam
0.6405228758169934,"[250, 250]",0.001,400,adam
0.6840958605664488,"[250, 250]",0.01,400,adam
0.6187363834422658,"[250, 250]",0.01,400,adam
0.6623093681917211,"[250, 250]",0.01,400,adam
0.6775599128540305,"[250, 250]",0.1,400,adam
0.6209150326797386,"[250, 250]",0.1,400,adam
0.6535947712418301,"[250, 250]",0.1,400,adam
0.6971677559912854,"[250, 250]",0.3,400,adam
0.6230936819172114,"[250, 250]",0.3,400,adam
0.644880174291939,"[250, 250]",0.3,400,adam
0.6623093681917211,"[250, 250]",0.5,400,adam
0.5250544662309368,"[250, 250]",0.5,400,adam
0.6252723311546841,"[250, 250]",0.5,400,adam
0.6470588235294118,"[250, 250]",0.6,400,adam
0.5337690631808278,"[250, 250]",0.6,400,adam
0.6143790849673203,"[250, 250]",0.6,400,adam
0.6862745098039216,"[300, 300]",0.0001,400,adam
0.6339869281045751,"[300, 300]",0.0001,400,adam
0.6666666666666666,"[300, 300]",0.0001,400,adam
0.6928104575163399,"[300, 300]",0.001,400,adam
0.6187363834422658,"[300, 300]",0.001,400,adam
0.664488017429194,"[300, 300]",0.001,400,adam
0.6884531590413944,"[300, 300]",0.01,400,adam
0.6274509803921569,"[300, 300]",0.01,400,adam
0.6710239651416122,"[300, 300]",0.01,400,adam
0.6840958605664488,"[300, 300]",0.1,400,adam
0.6230936819172114,"[300, 300]",0.1,400,adam
0.6427015250544662,"[300, 300]",0.1,400,adam
0.6840958605664488,"[300, 300]",0.3,400,adam
0.6361655773420479,"[300, 300]",0.3,400,adam
0.6470588235294118,"[300, 300]",0.3,400,adam
0.6579520697167756,"[300, 300]",0.5,400,adam
0.6187363834422658,"[300, 300]",0.5,400,adam
0.579520697167756,"[300, 300]",0.5,400,adam
0.6579520697167756,"[300, 300]",0.6,400,adam
0.6187363834422658,"[300, 300]",0.6,400,adam
0.6209150326797386,"[300, 300]",0.6,400,adam
0.07407407407407407,"[100, 100]",0.0001,400,sgd
